itemnr,item
f54a,Jag vet vilka regler som gäller på den här skolan.
f54b,Jag trivs bra i skolan.
f54c,Vi elever är med och planerar vad vi skall göra i undervisningen.
f54d,Lärarna berömmer elever som gör något bra i skolan.
f54e,Det är hög ljudnivå och stökigt på lektionerna.
f54f,Skolarbetet känns meningslöst.
f54g,Vi elever får vara med och bestämma över saker som är viktiga för oss.
f54h,Lärarna förklarar vad vi får och vad vi inte får göra.
f54i,I början av lektionerna tar det minst fem minuter innan arbetet kan börja
f54j,Skolan berättar för mina föräldrar om jag gjort något bra.
f54k,Elevernas åsikter tas inte på allvar i den här skolan.
f54l,Vuxna ingriper om någon blir trakasserad eller mobbad.
f54m,Mina lärare ger mig inget beröm om jag jobbar hårt.
f54n,Jag ser fram emot att gå till lektionerna.
f54o,"Jag är orolig för att utsättas för brott i skolan. (t.ex. stöld, misshandel etc)"
f54p,De flesta av mina lärare har intressant undervisning.
f54q,Skolarbetet gör mig förvirrad.
f54r,Om man inte förstår får man direkt hjälp av läraren.
F55,Har du varit borta från skolan det här läsåret därför att du var sjuk eller mådde dåligt?
F56,Har du skolkat en hel dag från skolan det här läsåret?
F59,Har du fuskat på läxförhör eller prov i skolan det här läsåret?
F65a,Vad hade du för betyg förra terminen (senast) i svenska?
F65b,Vad hade du för betyg förra terminen (senast) i engelska?
F65c,Vad hade du för betyg förra terminen (senast) i matematik?
